Key,Remarks,parentId,sort,id,count,giftId,title,version
30001,,30001,1,30001,180,8071001,保持在线{0}分钟,2
30002,,30001,2,30002,300,8071002,保持在线{0}分钟,2
30003,,30001,3,30003,720,8071003,保持在线{0}分钟,2
30004,,30001,4,30004,1200,8071004,保持在线{0}分钟,2
30005,,30001,5,30005,1200,8071005,保持在线{0}分钟,2
30006,,30001,6,30006,1800,8071006,保持在线{0}分钟,2
30007,,30001,7,30007,1800,8071007,保持在线{0}分钟,2
30008,,30001,8,30008,7200,8071008,保持在线{0}分钟,2
30009,,30001,9,30009,10800,8071009,保持在线{0}分钟,2
30010,,30001,10,30010,10800,8071010,保持在线{0}分钟,2
